index,model,alpha,MAE,RMSE,observed_rate,kupiec_p,christoffersen_p,basel_zone
ADI,ANN,0.05,0.678303091494352,0.9425715801565375,0.011764705882352941,0.006271836704354716,0.023302391715644855,green
ADI,ANN,0.01,0.678303091494352,0.9425715801565375,0.0058823529411764705,0.5588778162444357,0.8379658888255735,green
ADI,LSTM,0.05,0.6810842309198186,0.9467366763830943,0.011764705882352941,0.006271836704354716,0.023302391715644855,green
ADI,LSTM,0.01,0.6810842309198186,0.9467366763830943,0.0058823529411764705,0.5588778162444357,0.8379658888255735,green
MASI,ARIMA,0.05,0.44909629385868766,0.5760253212267639,0.012578616352201259,0.010133600203457993,0.03574763585907226,green
MASI,ARIMA,0.01,0.44909629385868766,0.5760253212267639,0.0,0.07381830391574784,0.20230002712877715,green
MASI,SARIMA,0.05,0.40823289203523777,0.5421393831230038,0.012578616352201259,0.010133600203457993,0.03574763585907226,green
MASI,SARIMA,0.01,0.40823289203523777,0.5421393831230038,0.0,0.07381830391574784,0.20230002712877715,green
MASI,GARCH,0.05,0.389562694605871,0.5365085328157186,0.03773584905660377,0.4590882583224384,0.33579616695019054,green
MASI,GARCH,0.01,0.389562694605871,0.5365085328157186,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
MASI,RF,0.05,0.44003845543540293,0.5868480735966004,0.18238993710691823,1.9337701440136357e-09,5.886774068208922e-09,red
MASI,RF,0.01,0.44003845543540293,0.5868480735966004,0.0440251572327044,0.0014678293392139663,0.004589867833581507,red
MASI,XGB,0.05,0.425849062695796,0.5630879772843846,0.0440251572327044,0.7244195121197432,0.6792484178845684,green
MASI,XGB,0.01,0.425849062695796,0.5630879772843846,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
MASI,ANN,0.05,0.39620699963219996,0.5364356729008577,0.012578616352201259,0.010133600203457993,0.03574763585907226,green
MASI,ANN,0.01,0.39620699963219996,0.5364356729008577,0.0,0.07381830391574784,0.20230002712877715,green
MASI,LSTM,0.05,0.39001104789064706,0.5324902500822908,0.012578616352201259,0.010133600203457993,0.03574763585907226,green
MASI,LSTM,0.01,0.39001104789064706,0.5324902500822908,0.0,0.07381830391574784,0.20230002712877715,green
TASI,ARIMA,0.05,0.9492878172994696,1.4869411843455644,0.03592814371257485,0.3806462002522034,0.28857001088255485,green
TASI,ARIMA,0.01,0.9492878172994696,1.4869411843455644,0.005988023952095809,0.5733772800521658,0.8482390584067003,green
TASI,SARIMA,0.05,0.9525689033992627,1.49127602410628,0.03592814371257485,0.3806462002522034,0.28857001088255485,green
TASI,SARIMA,0.01,0.9525689033992627,1.49127602410628,0.005988023952095809,0.5733772800521658,0.8482390584067003,green
TASI,GARCH,0.05,0.950279675311981,1.5038579186777516,0.059880239520958084,0.5693977073164855,0.7492556406729949,green
TASI,GARCH,0.01,0.950279675311981,1.5038579186777516,0.017964071856287425,0.35221525008117716,0.613884895447327,yellow
TASI,RF,0.05,1.051218576858748,1.582917465158944,0.1497005988023952,1.355604111297204e-06,8.449973360469265e-06,red
TASI,RF,0.01,1.051218576858748,1.582917465158944,0.04790419161676647,0.0003752850629368254,0.0012106790104775556,red
TASI,XGB,0.05,1.0010135925332133,1.505296554104668,0.0718562874251497,0.22251019706434116,0.24512738914328913,yellow
TASI,XGB,0.01,1.0010135925332133,1.505296554104668,0.017964071856287425,0.35221525008117716,0.0641099852904995,yellow
TASI,ANN,0.05,0.9488080607447955,1.4742640781004197,0.03592814371257485,0.3806462002522034,0.28857001088255485,green
TASI,ANN,0.01,0.9488080607447955,1.4742640781004197,0.005988023952095809,0.5733772800521658,0.8482390584067003,green
TASI,LSTM,0.05,0.9545468466242245,1.4921409989703143,0.029940119760479042,0.20005011524886784,0.1319491310816916,green
TASI,LSTM,0.01,0.9545468466242245,1.4921409989703143,0.005988023952095809,0.5733772800521658,0.8482390584067003,green
